nFrameNo,nDetectId,nObjectType,nRealXPos[mm],nDistance[mm],nWidth[mm],nHeight[mm],nXSpeed,nZSpeed,nXAcceleration,nZAcceleration,,,image_xs[pixel],image_ys[pixel],image_width[pixel],image_height[pixel]
94,73,0,839,7626,1149,2307,0,0,0,0,,,119,386,10,13
95,70,0,1133,7491,560,2302,0,0,0,0,,,124,389,5,12
95,74,0,-7905,31775,1444,1881,0,0,0,0,,,41,112,24,42
95,80,0,-7092,35187,1283,1599,0,0,0,0,,,52,112,14,24
95,92,0,-2144,20967,1429,2219,0,0,0,0,,,90,171,17,49
98,93,0,-292,2744,812,1028,0,0,0,0,,,111,544,8,44
98,103,0,98,2880,723,1133,0,0,0,0,,,115,540,6,22
100,13,0,-1630,5540,927,2422,0,0,0,0,,,100,417,8,32
101,78,0,-793,2533,319,406,0,0,0,0,,,109,573,4,25
101,109,0,4845,17497,638,1088,0,0,0,0,,,152,230,7,14
104,111,0,-233,3194,376,1346,0,0,0,0,,,113,521,4,12
105,61,0,1262,7302,624,2292,0,0,0,0,,,124,393,5,12
105,75,0,-750,2591,449,763,0,0,0,0,,,109,568,5,19
108,81,0,1090,7506,489,1661,0,0,0,0,,,124,391,4,10
110,3,0,-1885,6306,995,2436,0,0,0,0,,,97,400,9,41
110,80,0,1007,7353,1697,2295,0,0,0,0,,,118,382,13,23
111,5,0,-1891,6337,1008,2437,0,0,0,0,,,96,399,10,41
112,2,0,-1890,6347,1017,2440,0,0,0,0,,,97,398,9,40
112,108,0,-177,3218,650,1680,0,0,0,0,,,113,518,6,17
112,128,0,1181,7628,419,2308,0,0,0,0,,,125,392,4,6
113,80,0,-240,3239,385,1646,0,0,0,0,,,113,504,4,32
114,1,0,-1889,6270,959,2433,0,0,0,0,,,96,398,9,44
116,1,0,-1919,6510,1082,2215,0,0,0,0,,,96,394,10,42
116,31,0,2553,10116,526,919,0,0,0,0,,,135,342,4,17
116,95,0,-55,2384,564,899,0,0,0,0,,,114,593,5,20
117,4,0,-1966,6629,1082,2462,0,0,0,0,,,94,394,13,42
117,102,0,5529,19101,548,1290,0,0,0,0,,,158,214,6,12
120,37,0,-728,3991,1534,2107,0,0,0,0,,,104,470,14,35
120,45,0,2890,10241,379,434,0,0,0,0,,,138,332,4,25
121,28,0,-499,3943,1186,2082,0,0,0,0,,,108,472,10,34
121,43,0,2856,10249,484,1072,0,0,0,0,,,137,329,6,29
121,108,0,-2169,7938,702,2278,0,0,0,0,,,97,387,7,12
122,3,0,-1991,6465,908,2447,0,0,0,0,,,97,400,8,31
123,62,0,-621,2911,569,1408,0,0,0,0,,,109,536,6,24
124,104,0,667,9078,787,1840,0,0,0,0,,,119,361,7,21
127,119,0,1144,7718,503,2317,0,0,0,0,,,124,390,5,7
131,21,0,1153,10314,2825,2294,0,0,0,0,,,115,326,20,49
131,39,0,-1775,12796,1645,2028,0,0,0,0,,,97,283,13,27
131,61,0,-2138,9434,919,2341,0,0,0,0,,,96,356,9,21
131,74,0,-425,17799,2150,2182,0,0,0,0,,,104,199,18,54
